title,car_model_name,car_color,car_mileage,location,date,price,image
مرسيدس C 280 2009,C 280,فضي,"203,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"1,080,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/02/23/6301675/medium_up_9bea37d8b1446abc47845f2fb0f59778.jpg
مرسيدس 180 2013,180,فضي,"105,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"1,400,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/14/6466033/medium_up_a2c66e0742bdfedf1c8c4dc4327e4bf2.jpg
مرسيدس GLC 300 2022,GLC 300,فضي,"12,000 كم",مدينة الشيخ زايد,2024-05-20,"4,650,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/20/6478165/medium_up_1adf722a1ed927f4cc39721ea9113fb0.jpg
مرسيدس E 350 2018,E 350,أبيض,"62,000 كم",القاهرة,2024-05-20,"3,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/02/6440844/medium_up_c73488c6a635a999db2476b70a9bd099.jpg
مرسيدس A 180 2021,A 180,فضي,"56,000 كم",6 أكتوبر,2024-05-20,"2,100,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/17/6472083/medium_up_98c7977b707f35045c827283f0a3684b.jpg
مرسيدس C 180 2012,C 180,فضي,"167,000 كم",القاهرة,2024-05-20,"1,300,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/20/6478060/medium_up_59aa74d0655a965827bf0d472d9a4906.jpg
مرسيدس 280 1974,280,أخضر,"200,000 كم",6 أكتوبر,2024-05-20,"145,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/20/6478018/medium_up_de9c2e03ba1f19a182f28686310cbb0b.jpg
مرسيدس C 200 2005,C 200,فضي,"275,000 كم",المنصورة,2024-05-20,"700,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/14/6465586/medium_up_8efedc54080026f4c86a37a0a8fdc578.jpg
مرسيدس GLA 2015,GLA,فيراني,"139,000 كم",العبور,2024-05-20,"1,730,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/20/6477939/medium_up_9c6e0091b1aec3747dd58a9206f5fea8.jpg
مرسيدس E 250 2011,E 250,أسود,"240,000 كم",القاهرة,2024-05-20,"1,630,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/20/6477897/medium_up_d75a391528ff47a2cfc7be8f49b7712f.jpg
مرسيدس CLA 200 2022,CLA 200,أسود,"39,000 كم",القاهرة,2024-05-19,"2,750,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6477541/medium_up_fc6f770426977029776d3046506aa707.jpg
مرسيدس 200 1983,200,أخضر,"250,000 كم",التجمع - القاهرة الجديدة,2024-05-19,"250,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6477415/medium_up_9a152a727195d618d73376804509b9a8.jpg
مرسيدس 200 1981,200,زيتوني,"394,000 كم",التجمع - القاهرة الجديدة,2024-05-19,"215,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6477369/medium_up_db1c1a9ca9278be76d39da41cff891fc.jpg
مرسيدس E 200 2021,E 200,فضي,"77,000 كم",القطامية,2024-05-19,"3,440,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/15/6346391/medium_up_ba1bc94710394cb6b3760c37be05d54f.jpg
مرسيدس 300 1988,300,أسود,"120,000 كم",المقطم,2024-05-19,"310,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/13/6464172/medium_up_2ce28086b6faf52655809dabd8c87a9d.jpg
مرسيدس 200 1980,200,بترولي,"250,000 كم",الدقهلية,2024-05-19,"195,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6476926/medium_up_90c4620d8c539f11cfe92a2c9d321b52.jpg
مرسيدس C 200 AMG 2021,C 200 AMG,أسود,"70,000 كم",القاهرة,2024-05-19,"3,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6476401/medium_up_f6550f2ae5ca85c5c971f4cd4bdf6fc3.jpg
مرسيدس GLC 200 2024,GLC 200,أسود,- كم,القاهرة,2024-05-19,"5,670,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/13/6464113/medium_up_faf18ba2cff0447cc1efddcde0913194.jpg
مرسيدس C 200 2022,C 200,فيراني,"25,000 كم",مدينة الشيخ زايد,2024-05-19,"3,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6476817/medium_up_f3eb8bb0de2d28c395ced14d3d43e0e8.jpg
مرسيدس 200 2023,200,أبيض,"4,000 كم",المنيل,2024-05-19,"5,000,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6476794/medium_up_e6d24875e3b2f7f6090758d423196e74.jpg
مرسيدس C 180 2020,C 180,رمادي,"52,000 كم",التجمع - القاهرة الجديدة,2024-05-19,"2,650,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/13/6464002/medium_up_9151a6651e0f8d4b53208c7a2034404a.jpg
مرسيدس S 500 2011,S 500,أسود,"100,000 كم",الجيزة,2024-05-19,"2,000,000 جنيه",https://media.hatla2eestatic.com/images/car/make-320x229/mercedes.png
مرسيدس 200 1977,200,احمر,"30,000 كم",القاهرة,2024-05-19,"180,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6476551/medium_up_b27c9a35381e602da5cd8e904adb4548.jpg
مرسيدس GLC 250 2019,GLC 250,أزرق,"70,000 كم",الغربية,2024-05-19,"2,730,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6476544/medium_up_959296cb5cd99beb83ded217498f4611.jpg
مرسيدس C 180 2015,C 180,أسود,"135,000 كم",التجمع - القاهرة الجديدة,2024-05-19,"2,150,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6476284/medium_up_fca0b019272b0c3cc9a1353551007c72.jpg
مرسيدس C 200 2005,C 200,أسود,"190,000 كم",القاهرة,2024-05-19,"850,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/09/6455149/medium_up_c6aab82010115d9b3da2e617d3fbfaad.jpg
مرسيدس C 180 2023,C 180,فضي,"6,877 كم",مدينة الشيخ زايد,2024-05-19,"3,100,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/18/6474340/medium_up_41c63c89f01ba4e1951c25b5ba73ea57.jpg
مرسيدس C 180 2024,C 180,أسود,12 كم,مدينة نصر,2024-05-19,"4,000,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/04/28/6430970/medium_up_bb40fb515b334ab5ffe98804230e11f5.jpg
مرسيدس C 180 2019,C 180,الأزرق الداكن,"55,000 كم",الجيزة,2024-05-19,"2,450,000 جنيه",https://media.hatla2eestatic.com/images/car/make-320x229/mercedes.png
مرسيدس 200 2021,200,احمر,"10,400 كم",التجمع - القاهرة الجديدة,2024-05-19,"3,100,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6475846/medium_up_0ae9fa7cbd7b817f9628451242365690.jpg
